"Reference","Qty","Value","Footprint","MFG Name","MFG Part Num","Mouser"
"BT9","1","CR2032","Raemixx500:Battery_Holder_Coin_2032_BS-7","EAGLE PLASTIC DEVICES","122-2420-GR","122-2420-GR"
"C1,C2,C3,C4,C5,C6,C9,C11,C13,C14,C18,C19,C20,C40,C41,C42,C804","17","330n","Raemixx500:C_Axial_L6.3mm_D2.5mm_P10.16mm","KEMET","C440C334K5R5TA7200","80-C440C334K5R-TR "
"C7,C8,C10,C12,C15,C16,C17,C21,C32,C33,C34,C35,C36,C37,C701,C800,C801,C802,C803","19","10n","Raemixx500:C_Axial_L6.3mm_D2.5mm_P10.16mm","KEMET","C410C103K1R5TA ","80-C410C103K1R"
"C39,C308,C713","3","10n","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C410C103K1R5TA ","80-C410C103K1R"
"C301,C302,C305,C325,C335,C501,C502","7","330n","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C440C334K5R5TA7200","80-C440C334K5R-TR "
"C303,C304","2","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","PANASONIC","ECA-1EM220I ","667-ECA-1EM220I "
"C306,C712","2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","PANASONIC","ECA-1EM100I ","667-ECA-1EM100I "
"C307,C401,C402","3","1000u","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","PANASONIC","ECA-1EM102 ","667-ECA-1EM102 "
"C311,C312,C313,C314","4","47n","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C410C473M5R5TA7200 ","80-C410C473M5R-TR "
"C321,C331,C711","3","100n","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","VISHAY","A104K15X7RF5TAA ","594-A104K15X7RF5TAA "
"C322,C332","2","6800p","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C410C682K2R5TA7200 ","80-C410C682K2R5TATU "
"C323,C333","2","3900p","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C410C392K1R5TA ","80-C410C392K1R "
"C324,C334","2","22u","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","PANASONIC","ECA-1EM220B ","667-ECA-1EM220B "
"C411,C412,C413,C421,C422,C423","6","1000p","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","KEMET","C410C102M5R5TA7200 ","80-C410C102M5R-TR"
"C811,C812,C813,C814,C815,C816","6","100u","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","PANASONIC","ECA-1VM101B ","667-ECA-1VM101B "
"C821,C822","2","47u","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","PANASONIC","ECA-1VM470B ","667-ECA-1VM470B "
"C911,E666","2","22p","Raemixx500:C_Axial_L6.3mm_D2.5mm_P10.16mm","KEMET","C410C220J1G5TA ","80-C410C220J1G "
"C913","1","4.7u","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","PANASONIC","ECA-2AM4R7B ","667-ECA-2AM4R7B"
"CN1","1","LEFT_JOY","Raemixx500:DB_9M","AMPHENOL","L17HTNEP4F1C ","523-L17HTNEP4F1C "
"CN2","1","RIGHT_JOY","Raemixx500:DB_9M","AMPHENOL","L17HTNEP4F1C ","523-L17HTNEP4F1C "
"CN3","1","RIGHT","Raemixx500:SWITCHCRAFT_PJRAN1X1U01X","SWITCHCRAFT","PJRAN1X1U01AUX ","502-PJRAN1X1U01AUX"
"CN4","1","LEFT","Raemixx500:SWITCHCRAFT_PJRAN1X1U01X","SWITCHCRAFT","PJRAN1X1U01AUX ","502-PJRAN1X1U01AUX"
"CN5","1","EXTFLOPPY_DB23F","Raemixx500:DB_23F","COMMODORE","390241-03",""
"CN6","1","SERIAL_DB25M","Raemixx500:DB_25M","AMPHENOL","L717SDB25PA4CH4F ","523-L717SDB25PA4CH4F "
"CN7","1","PARALLEL_DB25F","Raemixx500:DB_25F","AMPHENOL","L77SDB25SA4CH4F ","523-L77SDB25SA4CH4F"
"CN8","1","POWER","Raemixx500:DS215+DIN8_COMBO","COMMODORE","252167-01",""
"CN9","1","VIDEO_DB23M","Raemixx500:DB_23M","COMMODORE","390242-03",""
"CN10","1","COMPOSITE","Raemixx500:SWITCHCRAFT_PJRAN1X1U01X","SWITCHCRAFT","PJRAN1X1U01AUX ","502-PJRAN1X1U01AUX"
"CN11","1","INTERNAL_FLOPPY","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical","AMPHENOL","77313-101-34LF","649-77313-101-34LF"
"CN12","1","FLOPPY_POWER","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","TE CONNECTIVITY","171825-4 ","571-1718254 "
"CN13","1","KEYBOARD","Raemixx500:Keyboard_Connector","AMPHENOL","10129378-908003BLF ","649-1012937890803BLF "
"D400,D401,D402,D403","4","SM05","Raemixx500:SOT-23_Handsoldering_NoSilk","DIODES INC","SM05-7","621-SM05-7"
"D501,D911,D912,D913","4","1N4148","Diode_THT:D_DO-35_SOD27_P12.70mm_Horizontal","ONSEMI","1N4148TR","512-1N4148TR "
"E101,E110,E406,E407,E702,E703,E704","7","10n","Raemixx500:EMI_Filter_Short","MURATA","DSS1NB32A103Q91A","81-DSS1NB32A103Q91A "
"E102,E103,E106,E107,E108","5","47p","Raemixx500:C_Axial_L9.0mm_D3.2mm_P12.70mm","VISHAY","A470J15C0GF5TAA ","594-A470J15C0GF5TAA"
"E104,E105,FB101","3","68","Raemixx500:EMI_Filter_Long","YAGEO","MFR-25FBF52-68R ","603-MFR-25FBF52-68R "
"E109,E791,E792,E793,E794","5","47p","Raemixx500:C_Axial_L6.3mm_D2.5mm_P10.16mm","VISHAY","A470J15C0GF5TAA ","594-A470J15C0GF5TAA"
"E302,E303","2","6800p","Raemixx500:EMI_Filter_Short","MURATA","DSS1NB32A682Q91A","81-DSS1NB32A682Q91A "
"E305,E306","2","270p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A271Q91A","81-DSS1NB32A271Q91A"
"E401,E403,E404,E405,E408,E601,E602","7","10n","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A103Q91A","81-DSS1NB32A103Q91A "
"E402,E434","2","150p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A151Q91A ","81-DSS1NB32A151Q91A "
"E411,E412,E413,E414,E421,E422,E423,E424","8","6800p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A682Q91A","81-DSS1NB32A682Q91A "
"E415,E416,E417,E425,E426,E427,E441,E442,E443,E444","10","470p","Raemixx500:EMI_Filter_Long","MURATA","DSS1NB32A471Q91A","81-DSS1NB32A471Q91A "
"E431,E432,E433,E435","4","FERR","Raemixx500:EMI_Filter_Long","ABRACON","ALFB-02 ","815-ALFB-02 "
"E501,E502,E503","3","47 1/2W","Raemixx500:EMI_Filter_Longer","VISHAY","PR01000104709JA500 ","594-PR01000104709JA5"
