Designator,Footprint,Quantity,Value,LCSC Part #
BT9,Battery_Holder_Coin_2032_BS-7,1,CR2032,
"C1, C11, C13, C14, C16, C17, C18, C19, C2, C20, C3, C4, C40, C41, C42, C5, C6, C804, C9",C_Axial_L6.3mm_D2.5mm_P10.16mm,19,330n,
"C10, C12, C15, C32, C33, C34, C35, C36, C37, C7, C701, C8, C800, C801, C802, C803",C_Axial_L6.3mm_D2.5mm_P10.16mm,16,10n,
"C301, C302, C305, C325, C335, C501, C502",C_Axial_L9.0mm_D3.2mm_P12.70mm,7,330n,
"C303, C304",CP_Radial_D5.0mm_P2.50mm,2,22u,
"C306, C712",CP_Radial_D5.0mm_P2.50mm,2,10u,
"C307, C401, C402",CP_Radial_D12.5mm_P5.00mm,3,1000u,
"C308, C39, C713",C_Axial_L9.0mm_D3.2mm_P12.70mm,3,10n,
"C311, C312, C313, C314",C_Axial_L9.0mm_D3.2mm_P12.70mm,4,47n,
"C321, C331, C711",C_Axial_L9.0mm_D3.2mm_P12.70mm,3,100n,
"C322, C332",C_Axial_L9.0mm_D3.2mm_P12.70mm,2,6800p,
"C323, C333",C_Axial_L9.0mm_D3.2mm_P12.70mm,2,3900p,
"C324, C334",CP_Radial_D8.0mm_P5.00mm,2,22u,
C403,VariCap,1,47p,
"C411, C412, C413, C421, C422, C423",C_Axial_L9.0mm_D3.2mm_P12.70mm,6,1000p,
"C811, C812, C813, C814, C815, C816",CP_Radial_D8.0mm_P5.00mm,6,100u,
"C821, C822",CP_Radial_D8.0mm_P5.00mm,2,47u,
"C911, E666",C_Axial_L6.3mm_D2.5mm_P10.16mm,2,22p,
C913,CP_Radial_D8.0mm_P5.00mm,1,4.7u,
"C94, C99",C_Axial_L6.3mm_D2.5mm_P10.16mm,2,100n,
CN1,DB_9M,1,LEFT_JOY,
CN10,SWITCHCRAFT_PJRAN1X1U01X,1,COMPOSITE,
CN11,IDC-Header_2x17_P2.54mm_Vertical,1,INTERNAL_FLOPPY,
CN12,PinHeader_1x04_P2.54mm_Vertical,1,FLOPPY_POWER,
