Designator,Mid X,Mid Y,Rotation,Layer
BT9,231.192,108.077,0.0,top
C1,47.8155,88.646,90.0,top
C10,179.8955,109.855,90.0,top
C11,174.8155,86.2233,90.0,top
C12,215.5825,108.712,90.0,top
C13,210.5025,85.09,90.0,top
C14,16.7005,89.916,90.0,top
C15,297.2435,191.643,90.0,top
C16,76.2,11.43,180.0,top
C17,60.96,11.43,180.0,top
C18,134.619999,39.37,180.0,top
C19,119.380001,36.195,0.0,top
C2,130.170501,123.950999,0.0,top
C20,198.120001,39.37,0.0,top
C3,97.092501,146.236001,90.0,top
C301,283.9085,107.992336,0.0,top
C302,283.9085,104.79617,180.0,top
C303,270.8475,111.188502,180.0,top
C304,270.937275,104.14,0.0,top
C305,283.9085,114.384668,180.0,top
C306,300.463388,107.992336,0.0,top
C307,90.6545,158.623,180.0,top
C308,300.4185,146.177,0.0,top
C311,107.221501,173.668001,90.0,top
C312,111.0615,173.668001,90.0,top
C313,118.6815,173.668001,90.0,top
C314,114.8715,173.668001,90.0,top
C32,180.34,27.305,90.0,top
C321,267.2715,116.332,180.0,top
C322,267.2715,122.682,180.0,top
C323,267.2715,130.23,180.0,top
C324,266.6365,218.861,270.0,top
C325,274.8915,222.758,90.0,top
C33,53.6575,169.164,90.0,top
C331,300.4185,116.374334,0.0,top
C332,300.4185,122.809,0.0,top
C333,300.452501,136.652,0.0,top
C334,285.8135,218.861,270.0,top
C335,291.5285,222.711,90.0,top
C34,106.045,36.195,180.0,top
C35,134.62,36.195,180.0,top
C36,295.2115,207.391,90.0,top
C37,295.3385,172.977,90.0,top
C39,200.3425,209.18898,90.0,top
C4,5.2705,184.531,270.0,top
C40,5.2705,200.406,270.0,top
C401,67.5005,221.4734,90.0,top
C402,11.622199,224.917,0.0,top
C403,94.746501,172.969499,0.0,top
C41,35.8775,201.295,270.0,top
C411,357.8225,208.026,270.0,top
C412,343.8525,208.026,270.0,top
C413,357.8225,231.013,270.0,top
C42,295.3385,158.9435,90.0,top
C421,322.1355,231.013,270.0,top
C422,310.5785,231.013,270.0,top
